Days,WTI,Brent,S&P500,DowJones,DAX,Nasdaq100 
4,39.62,42.35,3152.05,25706.09,12489.46,10754.59
5,40.55,43.24,3185.04,26075.30,12633.71,10836.33
1,40.10,42.72,3155.22,26085.80,12799.97,10602.21
2,40.29,42.90,3197.52,26642.59,12697.36,10689.52
3,41.20,43.79,3226.56,26870.10,12930.98,10701.68
4,40.75,43.37,3215.57,26734.71,12874.97,10626.46
5,40.59,43.14,3224.73,26671.95,12919.61,10645.22
1,40.81,43.28,3251.84,26680.87,13046.92,10952.08
2,41.96,44.32,3257.30,26840.40,13171.83,10833.07
3,41.90,44.29,3276.02,27005.84,13104.25,10870.75
4,41.07,43.31,3235.66,26652.33,13103.39,10580.59
5,41.29,43.34,3215.63,26469.89,12838.06,10483.13
1,41.60,43.41,3239.41,26584.77,12838.66,10674.38
2,41.04,43.22,3218.44,26379.28,12835.28,10532.50
3,41.27,43.75,3258.44,26539.57,12822.26,10662.98
4,39.92,42.94,3246.22,26313.65,12379.65,10715.51
5,40.27,43.30,3271.12,26428.32,12313.36,10905.88
1,41.01,44.15,3294.61,26664.40,12646.98,11055.08
2,41.70,44.43,3306.51,26828.47,12600.87,11096.54
3,42.19,45.17,3327.77,27201.52,12660.25,11125.44
4,41.95,45.09,3349.16,27386.98,12591.68,11267.08
5,41.22,44.40,3351.28,27433.48,12674.88,11139.39
1,41.94,44.99,3360.47,27791.44,12687.53,11085.17
2,41.61,44.50,3333.69,27686.91,12946.89,10876.08
3,42.67,45.43,3380.35,27976.84,13058.63,11157.72
4,42.24,44.96,3373.43,27896.72,12993.71,11178.37
5,42.01,44.80,3372.85,27931.02,12901.34,11164.45
1,42.89,45.37,3381.99,27844.91,12920.66,11288.57
2,42.89,45.46,3389.78,27778.07,12881.76,11399.03
3,42.93,45.37,3374.85,27692.88,12977.33,11318.64
4,42.58,44.90,3385.51,27739.73,12830.00,11477.05
5,42.34,44.35,3397.16,27930.33,12764.80,11555.16
1,42.62,45.13,3431.28,28308.46,13066.54,11626.17
2,43.35,45.86,3443.62,28248.44,13061.62,11721.80
3,43.39,45.64,3478.73,28331.92,13190.15,11971.94
4,43.04,45.09,3484.55,28492.27,13096.36,11926.16
5,42.97,45.05,3508.01,28653.87,13033.20,11995.86
1,42.61,45.28,3500.31,28430.05,12945.38,12110.70
2,42.76,45.58,3526.65,28645.66,12974.25,12292.86
3,41.51,44.43,3580.84,29100.50,13243.43,12420.54
4,41.37,44.07,3455.06,28292.73,13057.77,11771.37
5,39.77,42.66,3426.96,28133.31,12842.66,11622.13
2,36.76,39.78,3331.84,27500.89,12968.33,11068.26
3,38.05,40.79,3398.96,27940.47,13237.21,11395.85
4,37.30,40.06,3339.19,27534.58,13208.89,11154.12
5,37.33,39.83,3340.97,27665.64,13202.84,11087.40
1,37.26,39.61,3383.54,27993.33,13193.66,11277.76
2,38.28,40.53,3401.20,27995.60,13217.67,11438.87
3,40.16,42.22,3385.49,28032.38,13255.37,11247.60
4,40.97,43.30,3357.01,27901.98,13208.12,11080.95
5,41.11,43.15,3319.47,27657.42,13116.25,10936.98
1,39.31,41.44,3281.06,27147.70,12542.44,10980.22
2,39.60,41.72,3315.57,27288.18,12594.39,11186.37
3,39.93,41.77,3236.92,26763.13,12642.97,10833.33
4,40.31,41.94,3246.59,26815.44,12606.57,10896.47
5,40.25,41.92,3298.46,27173.96,12469.20,11151.13
1,40.60,42.43,3351.60,27584.06,12870.87,11364.45
2,39.29,41.03,3335.47,27452.66,12825.82,11322.95
3,40.22,40.95,3363.00,27781.70,12760.73,11418.06
4,38.72,40.93,3380.80,27816.90,12730.77,11583.20
5,37.05,39.27,3348.44,27682.81,12689.04,11255.69
1,39.22,41.29,3408.63,28148.64,12828.31,11509.06
2,40.67,42.65,3360.95,27772.76,12906.02,11291.27
3,39.95,41.99,3419.45,28303.46,12928.57,11503.19
4,41.19,43.34,3446.83,28425.51,13042.21,11550.94
5,40.60,42.85,3477.13,28586.90,13051.23,11725.85
1,39.43,41.72,3534.22,28837.52,13138.41,12088.11
2,40.20,42.45,3511.93,28679.81,13018.99,12083.17
3,41.04,43.32,3488.67,28514.00,13028.06,11985.36
4,40.96,43.16,3483.34,28494.20,12703.75,11898.57
5,40.88,42.93,3483.81,28606.31,12908.99,11852.17
1,40.83,42.62,3426.92,28195.42,12854.66,11634.35
2,41.46,43.16,3443.12,28308.79,12736.95,11677.84
3,40.03,41.73,3435.56,28210.82,12557.64,11665.37
4,40.64,42.46,3453.49,28363.66,12543.06,11662.91
5,39.85,41.77,3465.39,28335.57,12645.75,11692.57
1,38.56,40.46,3400.97,27685.38,12177.18,11504.52
2,39.57,41.20,3390.68,27463.19,12063.57,11598.95
3,37.39,39.12,3271.03,26519.95,11560.51,11142.76
4,36.17,37.65,3310.11,26659.11,11598.07,11350.74
5,35.79,37.46,3269.96,26501.60,11556.48,11052.95
1,36.81,38.97,3310.24,26925.05,11784.10,11084.76
2,37.66,39.71,3369.16,27480.03,12088.98,11279.91
3,39.15,41.23,3443.44,27847.66,12324.22,11777.02
4,38.79,40.93,3510.45,28390.18,12568.09,12078.07
5,37.14,39.45,3509.44,28323.40,12480.02,12091.35
1,40.29,42.40,3550.50,29157.97,13095.97,11830.38
2,41.36,43.61,3545.53,29420.92,13163.11,11624.29
3,41.45,43.80,3572.66,29397.63,13216.18,11892.93
4,41.12,43.53,3537.01,29080.17,13052.95,11827.14
5,40.13,42.78,3585.15,29479.81,13076.72,11937.84
1,41.34,43.82,3626.91,29950.44,13138.61,12013.38
2,41.43,43.75,3609.53,29783.35,13133.47,11977.49
3,41.82,44.34,3567.79,29438.42,13201.89,11894.71
4,41.74,44.20,3581.87,29483.23,13086.16,11985.43
5,42.15,44.96,3557.54,29263.48,13137.25,11906.44
1,43.06,46.06,3577.59,29591.27,13126.97,11905.94
2,44.91,47.86,3635.41,30046.24,13292.44,12079.81
3,45.71,48.61,3629.65,29872.47,13289.80,12152.21
5,45.53,48.18,3638.35,29910.37,13335.68,12258.21
1,45.34,47.59,3621.63,29638.64,13291.16,12268.32
2,44.55,47.42,3662.45,29823.92,13382.30,12455.33
3,45.28,48.25,3669.01,29883.79,13313.24,12456.41
4,45.64,48.71,3666.72,29969.52,13252.86,12467.13
5,46.26,49.25,3699.12,30218.26,13298.96,12528.48
1,45.76,48.79,3691.96,30069.79,13271.00,12596.47
2,45.60,48.84,3702.25,30173.88,13278.49,12635.72
3,45.52,48.86,3672.82,30068.81,13340.26,12364.64
4,46.78,50.25,3668.10,29999.26,13295.73,12401.74
5,46.57,49.97,3663.46,30046.37,13114.30,12375.41
1,46.99,50.29,3647.49,29861.55,13223.16,12462.21
2,47.62,50.76,3694.62,30199.31,13362.87,12595.92
3,47.82,51.08,3701.17,30154.54,13565.98,12668.16
4,48.36,51.50,3722.48,30303.37,13667.25,12752.06
5,49.10,52.26,3709.41,30179.05,13630.51,12738.18
1,47.74,50.91,3694.92,30216.45,13246.30,12690.26
2,47.02,50.08,3687.26,30015.51,13418.11,12717.56
3,48.12,51.20,3690.01,30129.83,13587.23,12653.14
1,47.62,50.86,3735.36,30403.97,13790.29,12838.86
2,48.00,51.09,3727.04,30335.67,13761.38,12843.49
3,48.40,51.34,3732.04,30409.56,13718.78,12845.36
